2021-05-27 08:40:17,594 MainThread      INFO     Roraima_Comm   :24       Puerto Serie Arduino:/dev/ttyACM1
2021-05-27 08:40:19,596 MainThread      INFO     Roraima_Comm   :30       Info Puerto Serie Arduino:/dev/ttyACM1
2021-05-27 08:40:19,802 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 08:41:19,787 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 08:42:19,780 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVL1:1 :148
2021-05-27 08:42:19,780 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVLWTR:2 :202
2021-05-27 08:42:19,780 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:TMP:0 :96
2021-05-27 08:42:19,789 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 08:43:19,795 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 08:44:19,795 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 08:45:19,796 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 08:46:19,799 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 08:47:19,790 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVL1:1 :81
2021-05-27 08:47:19,791 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVLWTR:2 :83
2021-05-27 08:47:19,791 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:TMP:0 :102
2021-05-27 08:47:19,800 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 08:48:19,803 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 08:49:19,808 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
